mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P10,dbo.p10_discount_quantity,lineitem,111680,11155,9251512,3302,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P10,dbo.p10_discount_quantity,lineitem,112818,11206,9251512,3303,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P10,dbo.p10_discount_quantity,lineitem,116940,11807,9251512,3303,120087,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11,dbo.p11_customer_supplier_same_region,lineitem,118440,12158,9782321,441,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11,dbo.p11_customer_supplier_same_region,lineitem,121497,12415,9782321,441,142959,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11,dbo.p11_customer_supplier_same_region,lineitem,117955,11878,9782321,442,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P12,dbo.p12_orders_discount_revenue,orders,133154,14145,8942536,4,142966,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P12,dbo.p12_orders_discount_revenue,orders,135375,14641,8942536,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P12,dbo.p12_orders_discount_revenue,orders,154442,15700,8942536,5,142965,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P12,dbo.p12_orders_discount_revenue,orders,104057,10755,8942536,5,142958,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
