mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,1,user1,3166,279,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1213,120,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3166,296,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1028,92,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3235,283,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1068,98,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3122,279,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1028,101,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2740,273,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1124,113,104890,1,,Mr,P6,lineitem_rls_policy,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3037,286,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1077,96,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3055,278,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1041,96,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3180,274,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1051,93,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3159,280,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1029,102,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3197,277,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1031,92,104890,1,,Mr,P8,lineitem_rls_policy,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3194,294,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,646,66,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,2777,276,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,956,96,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3028,286,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,795,79,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3050,295,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1088,107,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2779,263,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,778,76,104890,1,,Mr,P10,lineitem_rls_policy,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,2825,265,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,646,64,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,2723,258,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,645,68,104890,1,,Mr,P5,lineitem_rls_policy,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
