mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,1,user1,5446,816,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1033,95,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3263,345,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,681,76,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3198,282,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,866,94,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3293,309,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1089,114,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3226,295,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1187,117,104890,1,,Mr,P6,,dbo.p6_ship_commit,"l_shipdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3336,298,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1121,105,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3015,281,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1103,112,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3123,293,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1021,102,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3173,294,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1055,96,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3201,279,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1011,91,104890,1,,Mr,P8,,dbo.p8_shipmode,l_shipmode,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3149,289,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1036,92,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3162,274,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1038,101,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3170,274,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1091,105,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2998,279,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1048,100,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3053,286,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,977,97,104890,1,,Mr,P10,,dbo.p10_discount_quantity,"l_discount,l_quantity",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,3137,295,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,1119,102,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,3270,294,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1021,104,104890,1,,Mr,P5,,dbo.p5_price_range,"l_extendedprice,l_discount",lineitem,q1.sql,lineitem
