mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,644,66,298871,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,758,80,298871,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,688,73,298871,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,822,88,201680,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,582,61,201680,0,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,737,75,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,978,100,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,1050,104,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,980,99,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P14,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance,lineitem;orders;customer,988,104,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,6052,3238,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,6202,3289,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,6194,3173,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,5939,3060,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,6030,3106,5674567,1642,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,738,74,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,1007,98,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,921,93,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,1015,107,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P23,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p23_customer_multi_supplier,lineitem;orders;customer,966,108,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,7878,7512,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,8514,8178,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,3,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,7922,7529,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,4,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,7876,7532,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
WITH_RLS,MODE1_CARTESIAN,5,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,7940,7549,13572264,0,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,1,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,733,74,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
NO_RLS,MODE1_CARTESIAN,2,user1,P6;P13;P17,dbo.p6_ship_commit;dbo.p13_orders_customer_europe;dbo.p17_customer_active_no_cancel,lineitem;orders;customer,735,76,131412,11620,,Mr,3.sql,"lineitem,orders,customer"
