mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P12,dbo.p12_orders_discount_revenue,orders,5120,734,924187,13043,26302,4500,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P12,dbo.p12_orders_discount_revenue,orders,4672,755,924187,13043,26302,4500,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P12,dbo.p12_orders_discount_revenue,orders,4765,737,924187,13043,26302,4500,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11,dbo.p11_customer_supplier_same_region,lineitem,2264,374,436581,42,127082,5,,Mr,5.sql,"customer,lineitem,nation,orders,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11,dbo.p11_customer_supplier_same_region,lineitem,2222,399,436699,34,127138,5,,Mr,5.sql,"customer,lineitem,nation,orders,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11,dbo.p11_customer_supplier_same_region,lineitem,2215,398,437765,23,127227,5,,Mr,5.sql,"customer,lineitem,nation,orders,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P13,dbo.p13_orders_customer_europe,orders,3499,494,678346,3330,107558,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P13,dbo.p13_orders_customer_europe,orders,3484,500,678346,3330,107556,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P13,dbo.p13_orders_customer_europe,orders,3484,515,678346,3330,107564,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P14,dbo.p14_customer_asia_balance,customer,5975,724,1896597,2867,107681,0,,Mr,7.sql,"customer,lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P14,dbo.p14_customer_asia_balance,customer,5974,731,1896597,2869,107681,0,,Mr,7.sql,"customer,lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P14,dbo.p14_customer_asia_balance,customer,5968,699,1896597,2869,107681,0,,Mr,7.sql,"customer,lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P15,dbo.p15_customer_recent_large_orders,customer,6052,5880,4582153,4,26288,0,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P15,dbo.p15_customer_recent_large_orders,customer,5634,5404,4582153,4,26288,0,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P15,dbo.p15_customer_recent_large_orders,customer,5815,5653,4582153,4,26288,0,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P18,dbo.p18_supplier_brushed_copper,supplier,2536,2348,2458460,44,19273,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P18,dbo.p18_supplier_brushed_copper,supplier,2584,2385,2458338,41,19320,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P18,dbo.p18_supplier_brushed_copper,supplier,2609,2444,2458613,29,19378,0,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P19,dbo.p19_part_supplier_europe,part,2914,2995,2877391,321,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P19,dbo.p19_part_supplier_europe,part,2771,2874,2877391,320,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P19,dbo.p19_part_supplier_europe,part,2909,3007,2877391,321,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P20,dbo.p20_part_avg_supplycost,part,2894,2983,2862970,321,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P20,dbo.p20_part_avg_supplycost,part,2871,2959,2862970,321,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P20,dbo.p20_part_avg_supplycost,part,2799,2894,2862970,321,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P17,dbo.p17_customer_active_no_cancel,customer,17111,13237,14060703,32,130353,797,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P17,dbo.p17_customer_active_no_cancel,customer,18629,14990,14060703,33,130341,797,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P17,dbo.p17_customer_active_no_cancel,customer,18037,14447,14060703,33,130342,797,,Mr,3.sql,"customer,lineitem,orders"
