mode,strategy,run_number,user,policy_ids,predicate_functions,predicate_columns,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
NO_RLS,NO_CARTESIAN,1,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,2254,283,127878,2,126924,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,2,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,2128,308,127878,2,126923,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,3,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,2122,264,127878,2,126924,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,4,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,2226,284,127878,2,126922,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,5,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,2096,259,127878,2,126924,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,1,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,894,257,20764,5,19537,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,2,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,891,255,20764,5,19537,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,3,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,923,259,20764,5,19537,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,4,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,915,262,20764,5,19537,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,5,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,938,262,20764,5,19537,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,1,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,2484,380,142015,11,134068,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,2,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,2332,363,142197,11,134065,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,3,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,2384,380,141262,11,134058,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,4,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,2408,355,142022,11,134057,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,5,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,1993,334,142179,11,134057,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,1,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,1698,240,108505,4,107555,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,2,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,1772,246,108505,4,107558,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,3,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,1681,240,108505,4,107556,1,,Mr,14.sql,"lineitem,part"
