mode,strategy,run_number,user,policy_ids,predicate_functions,predicate_columns,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,rows_returned,errors,machine,query_name,tables_used
NO_RLS,NO_CARTESIAN,1,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,827,74,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,2,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,1038,103,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,3,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,828,75,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,4,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,859,81,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,5,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,1132,104,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,1,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,462,67,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,2,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,415,68,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,3,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,452,62,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,4,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,598,73,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,5,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,528,70,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,1,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,739,75,140510,0,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
