mode,strategy,run_number,user,policy_ids,predicate_functions,predicate_columns,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,rows_returned,errors,machine,query_name,tables_used
NO_RLS,NO_CARTESIAN,1,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,846,77,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,2,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,1042,98,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,3,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,846,78,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,4,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,965,99,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,5,user1,P3;P50,dbo.p3_return_discount;dbo.p50_order_positive_quantity_discount_correlation,"l_returnflag,l_discount;o_orderkey",lineitem;orders,831,75,127878,0,2,,Mr,12.sql,"lineitem,orders"
NO_RLS,NO_CARTESIAN,1,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,349,50,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,2,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,638,76,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,3,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,634,90,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,4,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,596,76,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,5,user1,P19;P18,dbo.p19_part_supplier_europe;dbo.p18_supplier_brushed_copper,p_partkey;s_suppkey,part;supplier,618,86,20764,0,18314,,Mr,16.sql,"part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,1,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,730,76,140510,0,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,2,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,1037,102,140509,0,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,3,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,1049,105,140510,0,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,4,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,1002,108,140511,0,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,5,user1,P17;P35;P21;P19;P32,dbo.p17_customer_active_no_cancel;dbo.p35_lineitem_delay_above_shipmode_avg;dbo.p21_orders_high_revenue;dbo.p19_part_supplier_europe;dbo.p32_supplier_urgent_orders,"c_custkey;l_shipmode,l_shipdate,l_receiptdate;o_orderkey;p_partkey;s_suppkey",customer;lineitem;orders;part;supplier,1031,106,140510,0,2,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
NO_RLS,NO_CARTESIAN,1,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,663,71,108505,0,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,2,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,640,62,108505,0,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,3,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,748,78,108505,0,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,4,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,643,62,108505,0,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,5,user1,P6;P36,dbo.p6_ship_commit;dbo.p36_part_size_above_type_avg,"l_shipdate,l_commitdate;p_partkey,p_size",lineitem;part,639,60,108505,0,1,,Mr,14.sql,"lineitem,part"
NO_RLS,NO_CARTESIAN,1,user1,P16;P20;P18,dbo.p16_lineitem_supplier_region_share;dbo.p20_part_avg_supplycost;dbo.p24_supplier_multi_region,"l_suppkey,l_partkey;p_partkey;s_suppkey",lineitem;part;supplier,553,56,115708,0,186,,Mr,20.sql,"lineitem,nation,part,partsupp,supplier"
NO_RLS,NO_CARTESIAN,2,user1,P16;P20;P18,dbo.p16_lineitem_supplier_region_share;dbo.p20_part_avg_supplycost;dbo.p24_supplier_multi_region,"l_suppkey,l_partkey;p_partkey;s_suppkey",lineitem;part;supplier,742,73,115708,0,186,,Mr,20.sql,"lineitem,nation,part,partsupp,supplier"
