mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,252070,25085,71485942,3327,104052,4,,Mr,1.sql,lineitem
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,256788,24475,71485942,3327,104052,4,,Mr,1.sql,lineitem
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,256525,25771,71485942,3327,104052,4,,Mr,1.sql,lineitem
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,2900,3021,2862970,320,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,2832,2926,2862970,321,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,2849,2934,2862970,320,17050,0,,Mr,2.sql,"nation,part,partsupp,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1347,198,298871,6,26302,0,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1616,218,298871,6,26302,0,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,1454,185,298871,6,26302,0,,Mr,3.sql,"customer,lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5247,710,1722825,13323,22870,5,,Mr,4.sql,"lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,4610,654,1722825,13323,22870,5,,Mr,4.sql,"lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5237,689,1722825,13323,22871,5,,Mr,4.sql,"lineitem,orders"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3338,2489,2863551,56,22685,0,,Mr,5.sql,"customer,lineitem,nation,orders,region,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3368,2572,2865146,10,23064,0,,Mr,5.sql,"customer,lineitem,nation,orders,region,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3342,2455,2864637,33,22857,0,,Mr,5.sql,"customer,lineitem,nation,orders,region,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,6406,704,1474810,3326,104068,1,,Mr,6.sql,lineitem
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,5993,651,1474810,3326,104053,1,,Mr,6.sql,lineitem
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,6066,757,1474810,3326,104053,1,,Mr,6.sql,lineitem
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3031,2509,2600991,106,22285,0,,Mr,7.sql,"customer,lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3023,2506,2601243,90,22398,0,,Mr,7.sql,"customer,lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,3090,2530,2600248,127,22083,0,,Mr,7.sql,"customer,lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P11;P13;P14;P18;P20,dbo.p11_customer_supplier_same_region;dbo.p13_orders_customer_europe;dbo.p14_customer_asia_balance;dbo.p18_supplier_brushed_copper;dbo.p20_part_avg_supplycost,lineitem;orders;customer;supplier;part,418,101,8135,1049,3503,0,,Mr,8.sql,"customer,lineitem,nation,orders,part,region,supplier"
